1 7 13
2 4 24
2 5 25
2 15 19
2 27 20
2 29 25
2 33 19
2 34 27
2 39 25
2 49 22
2 63 27
2 66 21
2 90 22
2 93 20
2 99 26
2 130 9
2 140 20
2 150 10
2 152 26
2 185 25
2 187 21
3 13 15
3 15 14
3 23 22
3 27 23
3 28 25
3 29 17
3 34 17
3 39 18
3 42 14
3 43 25
3 47 21
3 49 22
3 52 20
3 57 16
3 61 24
3 63 17
3 65 21
3 66 19
3 68 14
3 73 17
3 74 24
3 90 17
3 99 16
3 117 23
3 133 26
3 140 18
3 181 13
3 194 19
3 195 15
3 270 19
4 5 20
4 6 11
4 27 21
4 28 17
4 29 21
4 34 22
4 39 21
4 43 17
4 49 20
4 63 22
4 74 17
4 90 27
4 99 21
4 115 10
4 130 14
4 131 15
4 140 25
4 150 13
4 152 21
4 166 13
4 180 8
4 185 20
4 187 16
5 33 22
5 34 23
5 63 23
5 90 18
5 93 23
5 94 14
5 112 17
5 130 10
5 147 7
5 150 11
5 152 25
5 185 27
5 187 24
6 27 11
6 28 13
6 43 13
6 47 10
6 74 14
6 89 16
6 90 13
6 115 23
6 128 16
6 129 14
6 131 25
6 140 15
6 151 20
6 154 11
6 161 16
6 166 20
6 167 14
6 174 16
6 175 21
6 180 15
6 181 21
6 192 14
7 9 20
7 55 22
7 72 26
7 82 20
7 87 22
7 91 24
8 9 24
8 14 18
8 21 23
8 24 26
8 30 22
8 31 25
8 32 18
8 36 17
8 44 17
8 51 17
8 58 25
8 60 20
8 64 21
8 69 18
8 71 19
8 72 23
8 78 17
8 81 25
8 82 24
8 83 25
8 85 21
8 87 25
8 91 20
8 94 13
9 24 26
9 30 26
9 31 28
9 55 26
9 58 27
9 72 22
9 77 23
9 82 29
9 85 23
9 87 26
10 11 15
10 12 18
10 13 13
10 14 22
10 18 18
10 19 24
10 32 22
10 35 25
10 37 20
10 41 26
10 42 14
10 45 20
10 50 27
10 51 20
10 53 18
10 56 27
10 57 14
10 60 20
10 62 24
10 64 13
10 69 21
10 78 18
10 79 19
10 80 24
10 83 15
10 84 24
10 86 24
10 88 14
10 96 13
10 98 19
11 12 13
11 13 24
11 15 19
11 18 20
11 22 17
11 29 14
11 37 20
11 38 18
11 39 13
11 41 13
11 42 20
11 45 21
11 49 12
11 50 15
11 56 15
11 57 22
11 59 17
11 61 14
11 64 11
11 65 12
11 66 17
11 73 20
11 78 14
11 86 16
11 92 17
11 96 25
11 98 18
11 99 13
11 117 15
12 13 15
12 16 10
12 19 14
12 20 14
12 35 14
12 41 19
12 42 18
12 50 20
12 56 20
12 57 16
12 62 21
12 65 12
12 79 14
12 84 14
12 88 15
12 97 18
12 98 23
12 100 20
12 160 13
12 194 11
12 270 11
12 294 12
12 296 15
13 15 17
13 18 16
13 23 13
13 29 12
13 37 16
13 39 12
13 41 12
13 42 25
13 45 17
13 49 13
13 50 14
13 52 11
13 56 14
13 57 27
13 61 18
13 65 17
13 66 15
13 73 18
13 86 13
13 96 20
13 98 19
13 117 16
13 194 13
13 270 13
14 18 14
14 19 24
14 21 16
14 24 20
14 31 18
14 32 29
14 35 24
14 37 16
14 41 20
14 45 15
14 50 20
14 51 27
14 53 17
14 56 20
14 58 18
14 60 27
14 62 18
14 64 16
14 69 28
14 78 20
14 79 19
14 80 24
14 81 17
14 83 22
14 84 24
14 85 22
14 86 20
14 98 13
15 18 14
15 22 22
15 27 15
15 29 23
15 34 20
15 37 13
15 38 20
15 39 22
15 42 13
15 44 12
15 45 14
15 49 19
15 57 15
15 59 21
15 61 19
15 63 20
15 66 24
15 73 26
15 92 21
15 93 24
15 96 21
15 99 22
15 117 20
15 152 21
15 185 20
15 187 23
16 20 24
16 23 14
16 47 13
16 52 16
16 54 14
16 65 13
16 68 18
16 70 12
16 76 18
16 97 19
16 100 12
16 105 18
16 160 26
16 194 17
16 195 18
16 199 19
16 201 17
16 203 22
16 208 23
16 212 15
16 221 26
16 255 13
16 264 16
16 270 17
16 294 13
16 316 19
16 391 11
17 207 28
17 209 17
17 210 21
17 218 20
17 222 26
17 223 15
17 230 24
17 233 20
17 239 17
17 243 19
17 247 21
17 252 13
17 257 24
17 261 16
17 262 12
17 267 17
17 275 20
17 276 20
17 288 17
17 290 20
17 295 24
17 356 16
17 367 15
17 381 21
18 21 17
18 22 15
18 32 14
18 36 19
18 37 27
18 38 18
18 41 15
18 42 14
18 44 19
18 45 26
18 50 16
18 56 16
18 57 14
18 59 16
18 60 15
18 64 19
18 71 17
18 73 13
18 78 22
18 83 14
18 86 23
18 92 16
18 93 11
18 96 22
18 98 15
19 24 15
19 25 19
19 32 24
19 35 28
19 41 24
19 50 22
19 51 24
19 53 22
19 56 22
19 60 22
19 62 22
19 67 20
19 69 24
19 78 17
19 79 24
19 80 29
19 83 17
19 84 29
19 85 18
19 86 19
19 88 17
19 98 14
19 296 15
20 23 13
20 52 14
20 54 12
20 65 13
20 68 13
20 70 13
20 88 6
20 97 24
20 98 9
20 100 16
20 160 24
20 194 17
20 195 13
20 201 15
20 203 20
20 208 19
20 212 13
20 221 22
20 255 15
20 270 17
20 294 17
20 296 8
20 316 15
20 391 12
21 24 20
21 31 19
21 32 16
21 36 23
21 37 16
21 38 15
21 44 23
21 58 20
21 60 18
21 64 26
21 69 16
21 71 25
21 72 24
21 78 21
21 81 27
21 82 18
21 83 23
21 85 15
21 86 15
21 91 24
21 94 19
21 112 16
22 29 18
22 33 25
22 34 17
22 36 19
22 37 13
22 38 26
22 39 17
22 44 19
22 45 14
22 49 13
22 59 28
22 63 17
22 64 14
22 66 17
22 71 17
22 73 20
22 78 12
22 92 28
22 93 25
22 94 22
22 96 20
22 99 19
22 112 23
22 117 14
22 152 19
22 185 20
22 187 24
23 27 16
23 28 20
23 42 14
23 43 20
23 47 26
23 49 15
23 52 27
23 57 14
23 61 19
23 65 23
23 68 21
23 74 19
23 76 14
23 89 12
23 117 16
23 133 25
23 160 16
23 181 13
23 194 25
23 195 22
23 208 11
23 221 12
23 270 25
24 30 24
24 31 27
24 32 20
24 35 15
24 36 14
24 44 14
24 51 19
24 58 27
24 60 22
24 64 19
24 69 20
24 71 16
24 72 21
24 78 18
24 80 15
24 81 22
24 82 26
24 83 26
24 84 15
24 85 24
24 87 24
24 91 17
25 35 18
25 41 19
25 48 21
25 51 15
25 53 26
25 62 20
25 67 25
25 75 13
25 79 24
25 80 19
25 84 19
25 88 26
25 100 17
25 220 14
25 228 23
25 244 17
25 273 13
25 284 9
25 294 12
25 296 24
26 54 22
26 76 13
26 105 15
26 199 15
26 201 20
26 203 14
26 208 17
26 212 19
26 221 14
26 254 13
26 264 20
26 282 14
26 316 19
26 320 17
26 326 19
26 332 11
26 351 9
26 361 12
26 372 11
26 375 7
26 383 7
26 387 14
26 388 12
26 391 13
26 399 11
27 28 24
27 29 21
27 34 21
27 39 22
27 43 24
27 47 16
27 49 25
27 52 14
27 61 22
27 63 21
27 65 15
27 66 20
27 73 17
27 74 23
27 90 22
27 93 13
27 99 20
27 117 23
27 131 14
27 133 20
27 140 23
27 152 19
27 181 12
28 29 16
28 34 17
28 39 17
28 43 29
28 47 20
28 49 20
28 52 18
28 61 20
28 63 17
28 65 17
28 66 15
28 68 15
28 73 13
28 74 28
28 89 13
28 90 19
28 99 16
28 117 19
28 131 15
28 133 24
28 140 20
28 181 16
28 194 16
28 195 15
28 270 16
29 34 26
29 38 16
29 39 28
29 43 16
29 49 24
29 59 17
29 61 20
29 63 26
29 66 25
29 73 22
29 74 15
29 90 19
29 92 17
29 93 21
29 96 15
29 99 28
29 117 23
29 140 19
29 152 26
29 185 24
29 187 22
30 31 26
30 55 23
30 58 25
30 72 19
30 77 26
30 82 26
30 85 26
30 87 23
31 32 18
31 51 18
31 55 25
31 58 28
31 60 20
31 69 18
31 71 15
31 72 21
31 77 23
31 81 21
31 82 28
31 83 24
31 85 24
31 87 25
31 91 16
32 35 24
32 37 16
32 41 20
32 45 15
32 50 20
32 51 27
32 53 17
32 56 20
32 58 18
32 60 27
32 62 18
32 64 16
32 69 28
32 78 20
32 79 19
32 80 24
32 81 17
32 83 22
32 84 24
32 85 22
32 86 20
33 34 20
33 36 16
33 38 22
33 44 16
33 59 24
33 63 20
33 71 15
33 91 14
33 92 24
33 93 25
33 94 21
33 99 20
33 112 24
33 152 22
33 185 23
33 187 26
34 39 27
34 43 17
34 49 23
34 59 16
34 61 19
34 63 29
34 66 23
34 73 20
34 74 16
34 90 21
34 92 16
34 93 21
34 99 27
34 117 22
34 133 14
34 140 20
34 152 27
34 185 25
34 187 22
35 37 16
35 41 24
35 45 16
35 50 23
35 51 24
35 53 21
35 56 23
35 60 22
35 62 22
35 64 13
35 67 19
35 69 24
35 78 18
35 79 23
35 80 28
35 83 17
35 84 28
35 85 18
35 86 20
35 88 16
35 98 15
36 37 17
36 38 21
36 44 29
36 45 16
36 58 14
36 59 20
36 60 13
36 64 24
36 71 27
36 72 19
36 78 19
36 81 21
36 83 17
36 86 13
36 91 25
36 92 20
36 93 15
36 94 24
36 96 16
36 112 21
36 187 14
37 38 16
37 41 17
37 42 14
37 44 17
37 45 28
37 50 18
37 56 18
37 57 14
37 59 14
37 60 17
37 64 19
37 73 12
37 78 23
37 83 15
37 84 15
37 86 25
37 92 14
37 96 21
37 98 17
38 44 21
38 45 16
38 59 27
38 64 16
38 66 15
38 71 19
38 73 18
38 78 14
38 86 12
38 92 27
38 93 22
38 94 23
38 96 22
38 99 16
38 112 23
38 152 16
38 185 17
38 187 21
39 43 17
39 49 25
39 59 16
39 61 21
39 63 27
39 66 25
39 73 22
39 74 16
39 90 20
39 92 16
39 93 20
39 96 14
39 99 27
39 117 24
39 133 15
39 140 20
39 152 25
39 185 23
39 187 21
40 54 14
40 212 13
40 213 15
40 224 28
40 225 21
40 229 22
40 231 23
40 237 23
40 249 18
40 252 17
40 254 25
40 256 28
40 262 16
40 263 19
40 265 19
40 279 23
40 281 23
40 282 22
40 283 20
40 285 22
40 326 19
40 363 17
40 367 17
40 372 24
40 387 19
40 391 15
41 42 13
41 45 17
41 50 27
41 51 19
41 53 21
41 56 27
41 57 13
41 60 18
41 62 27
41 69 19
41 78 15
41 79 22
41 80 24
41 84 24
41 86 21
41 88 17
41 98 19
41 100 14
41 296 15
42 45 15
42 50 15
42 52 14
42 56 15
42 57 27
42 61 16
42 62 13
42 65 20
42 66 12
42 73 15
42 86 13
42 96 16
42 97 13
42 98 22
42 117 13
42 133 14
42 160 11
42 194 16
42 270 16
43 47 20
43 49 20
43 52 18
43 61 20
43 63 17
43 65 17
43 66 15
43 68 15
43 74 28
43 89 13
43 90 19
43 99 16
43 117 19
43 131 15
43 133 24
43 140 20
43 181 16
43 194 16
43 195 15
43 270 16
44 45 16
44 58 14
44 59 20
44 60 13
44 64 24
44 71 27
44 72 19
44 78 19
44 81 21
44 83 17
44 86 13
44 91 25
44 92 20
44 93 15
44 94 24
44 96 16
44 112 21
44 187 14
45 50 18
45 56 18
45 57 15
45 59 15
45 60 16
45 64 18
45 73 13
45 78 22
45 83 14
45 84 15
45 86 24
45 92 15
45 96 22
45 98 18
46 108 24
46 118 11
46 123 12
46 134 19
46 137 17
46 156 16
46 167 12
46 171 23
46 172 20
46 173 18
46 176 23
46 182 16
46 190 11
46 192 13
46 193 24
46 198 17
46 323 9
46 354 17
46 366 12
46 368 13
46 374 9
46 375 10
46 376 10
46 393 17
47 49 14
47 52 26
47 61 18
47 65 21
47 68 21
47 74 21
47 76 15
47 89 15
47 117 15
47 133 24
47 160 15
47 175 10
47 181 15
47 194 23
47 195 22
47 199 13
47 221 11
47 270 23
48 53 22
48 67 25
48 77 17
48 95 24
48 228 25
48 244 17
49 57 13
