1 2 3
1 6 3
1 7 3
1 11 2
1 12 2
1 13 3
1 59 3
2 7 3
2 9 2
2 11 4
2 41 1
2 54 0
2 59 3
3 4 4
3 56 4
3 58 4
3 63 2
3 92 2
3 93 3
3 94 5
4 56 7
5 7 3
5 20 3
5 57 7
5 59 3
6 9 4
6 53 1
7 8 3
7 57 3
7 59 7
7 82 2
8 41 2
8 59 3
8 60 3
8 80 1
9 11 3
9 12 2
9 60 3
9 68 1
9 93 1
9 97 1
10 37 4
10 52 1
10 78 3
10 85 4
10 95 4
10 98 2
10 108 4
11 12 2
11 41 1
11 82 1
11 91 2
12 13 5
12 39 2
12 61 4
12 68 3
12 115 2
13 39 4
13 61 5
13 68 1
14 17 2
14 19 3
14 64 3
14 70 3
14 80 3
15 16 5
15 63 5
15 64 1
15 66 5
15 70 0
15 92 4
15 97 5
16 63 5
16 66 7
16 69 4
16 92 4
16 93 4
16 97 6
17 55 1
17 67 2
17 70 3
17 80 3
17 115 3
18 62 4
18 64 1
18 65 3
20 35 3
20 57 3
21 22 3
21 24 5
21 71 4
21 74 4
22 24 3
22 71 3
23 24 4
23 26 1
23 28 4
23 72 3
23 73 5
24 71 4
24 72 1
24 73 5
25 29 1
25 31 0
25 71 0
25 76 3
25 81 1
26 28 2
26 30 2
26 31 1
26 75 7
26 76 1
26 83 2
27 86 2
28 72 2
28 73 3
28 75 2
29 39 2
29 81 7
29 84 2
29 114 2
30 75 2
30 83 7
31 75 1
32 37 4
32 46 3
32 54 4
32 95 4
32 113 2
33 88 5
33 99 2
33 114 4
34 91 6
34 96 4
35 36 5
36 93 5
36 94 4
37 54 3
37 78 5
37 85 5
37 95 7
37 108 5
38 96 5
38 116 4
39 61 3
39 63 2
39 81 2
39 97 2
40 91 2
40 99 5
41 80 2
41 115 1
42 43 4
42 45 5
42 46 4
42 100 4
42 101 4
42 104 4
43 44 5
43 45 2
43 100 3
43 101 7
43 102 5
43 103 3
43 104 5
44 47 4
44 101 5
44 102 7
44 103 4
44 104 4
44 105 4
45 46 5
45 47 3
45 104 4
45 107 3
45 108 3
46 47 3
46 85 2
46 104 2
46 107 3
46 108 3
47 100 2
47 103 4
47 105 5
47 107 7
48 113 4
49 52 4
50 109 4
52 111 3
52 112 1
53 54 2
53 55 5
53 110 5
53 111 4
53 112 6
53 113 4
54 85 2
54 95 3
54 111 2
54 113 3
55 110 5
55 112 5
55 113 4
57 59 3
59 82 2
61 67 4
61 90 3
63 66 5
63 92 6
63 93 4
63 97 6
64 86 2
65 69 3
65 70 3
66 69 4
66 92 4
66 93 4
66 97 6
67 68 4
67 115 3
68 69 3
68 70 2
68 115 3
69 70 4
70 80 3
71 73 2
71 82 0
71 87 2
72 105 4
75 76 1
75 83 2
78 95 5
80 103 0
80 115 2
81 84 2
81 114 2
82 98 1
84 88 4
84 89 1
84 98 1
85 86 1
85 95 5
85 108 6
91 96 4
92 94 3
92 97 5
93 94 4
93 97 4
95 108 5
96 116 3
99 100 2
100 101 3
100 103 3
100 107 2
101 102 5
101 104 5
102 103 4
102 104 4
102 105 4
103 105 4
103 107 4
105 107 5
110 111 6
110 112 6
111 112 5
111 113 3
112 113 4
115 116 1
